recon,cyber,disinfo,comb,cyber2,disinfo2
6.0,94.0,0.0,0.0,0.0,0.0
1.0,0.0,25.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
5.0,93.0,0.0,2.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
19.0,81.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,93.0,0.0,1.0,0.0,0.0
47.0,52.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
26.0,74.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
8.0,88.0,0.0,4.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
18.0,81.0,1.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
9.0,89.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
18.0,82.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
15.0,85.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
15.0,85.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
63.0,37.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,94.0,0.0,5.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
29.0,71.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
16.0,84.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
3.0,94.0,0.0,3.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
14.0,86.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
22.0,78.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
2.0,95.0,0.0,3.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
34.0,66.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
13.0,87.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
13.0,79.0,0.0,8.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
14.0,86.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
14.0,86.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,92.0,0.0,1.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
12.0,88.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
13.0,86.0,1.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
11.0,88.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
7.0,91.0,0.0,2.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
18.0,81.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
20.0,80.0,0.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
12.0,88.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
25.0,75.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
12.0,88.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
16.0,84.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
12.0,88.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,95.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
23.0,77.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
21.0,79.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
17.0,83.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
8.0,88.0,0.0,4.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
7.0,60.0,33.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
4.0,94.0,0.0,2.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
14.0,86.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,93.0,0.0,3.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
18.0,81.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,91.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
11.0,89.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
13.0,87.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
12.0,88.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
6.0,93.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
12.0,88.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
3.0,94.0,0.0,3.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,95.0,0.0,2.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
9.0,91.0,0.0,0.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
5.0,93.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
24.0,76.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
8.0,92.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
8.0,91.0,0.0,1.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,81.0,0.0,2.0,16.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
14.0,86.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
10.0,90.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
18.0,82.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,95.0,0.0,3.0,0.0,0.0
3.0,94.0,0.0,3.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
8.0,90.0,0.0,2.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
5.0,95.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
6.0,93.0,0.0,1.0,0.0,0.0
6.0,93.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
7.0,93.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
